Project,Stars,Contributors,Forks,Releases,Source,DataCollectionDate
MinIO,60200,504,7000,521,Github,2026-02-11
Ceph,16200,1447,6300,402,Github,2026-02-11
Rook,13400,553,2800,234,Github,2026-02-11
Longhorn,7500,135,683,202,Github,2026-02-11
Alluxio,7200,1244,3000,61,Github,2026-02-11
